symbol
RELIANCE
HDFCBANK
SBIN
ICICIBANK
BAJFINANCE
INFY
LICI
AXISBANK
HCLTECH
ITC
KOTAKBANK
ADANIPORTS
BEL
JSWSTEEL
VEDL
NESTLEIND
ETERNAL
HINDZINC
WIPRO
HINDALCO
IOC
SHRIRAMFIN
JIOFIN
ADANIGREEN
BANKBARODA
PIDILITIND
HDFCLIFE
VBL
DLF
BPCL
IRFC
PNB
CHOLAFIN
CANBK
MOTHERSON
ADANIENSOL
INDUSTOWER
TMPV
CGPOWER
TATACONSUM
GODREJCP
AMBUJACEM
CIPLA
MARICO
ASHOKLEY
MAXHEALTH
GMRAIRPORT
UNITDSPR
GAIL
INDHOTEL
RECLTD
ABCAPITAL
HAVELLS
ICICIPRULI
DABUR
SWIGGY
HINDPETRO
LODHA
IDBI
NYKAA
TORNTPOWER
NMDC
POLICYBZR
AUBANK
BANKINDIA
PAYTM
NAUKRI
SBICARD
BAJAJHFL
LTF
INDUSINDBK
FORTIS
UNOMINDA
SAIL
BIOCON
JSL
RVNL
IDFCFIRSTB
PATANJALI
PRESTIGE
UPL
VMM
HINDCOPPER
VOLTAS
M&MFIN
BDL
IRCTC
MOTILALOFS
COFORGE
PETRONET
HUDCO
CONCOR
COCHINSHIP
IREDA
POONAWALLA
MRPL
SONACOMS
JUBLFOOD
ITCHOTELS
SJVN
EXIDEIND
CDSL
BANDHANBNK
TATATECH
GUJGASLTD
NBCC
MANAPPURAM
IGL
CESC
PPLPHARMA
IIFL
AEGISVOPAK
KPITTECH
HBLENGINE
CASTROLIND
INOXWIND
CHAMBLFERT
SYNGENE
SUNDRMFAST
CAMS
ANANTRAJ
REDINGTON
JSWCEMENT
CROMPTON
FSL
TRITURBINE
PGEL
IFCI
GSPL
NIVABUPA
DEVYANI
GABRIEL
COHANCE
JMFINANCIL
IRCON
ABLBL
ABDL
FIVESTAR
JWL
SCI
IEX
UJJIVANSFB
PCBL
APTUS
EDELWEISS
FINPIPE
SWANCORP
AZAD
BSOFT
SBFC
CEMPRO
METROPOLIS
SANDUMA
NCC
MANYAVAR
RAILTEL
LEMONTREE
MMTC
TIMETECHNO
TITAGARH
GMRP&UI
JYOTHYLAB
MARKSANS
ZEEL
GPPL
ABFRL
CAMPUS
DIACABS
TRANSRAILL
EQUITASBNK
RCF
SONATSOFTW
NEWGEN
SHAKTIPUMP
GSFC
INOXGREEN
MOIL
BORORENEW
MIDHANI
DCBBANK
JAIBALAJI
SAPPHIRE
DBREALTY
JAMNAAUTO
CMSINFO
THOMASCOOK
GOKEX
SWSOLAR
RAIN
MANINFRA
TARC
TEXRAIL
RBA
HEMIPROP
NFL
LXCHEM
KNRCON
VAIBHAVGBL
ASHOKA
SAMHI
GREAVESCOT
RELINFRA
SHAREINDIA
ZAGGLE
REFEX
ORIENTCEM
EIEL
DCAL
CYIENTDLM
PARKHOTELS

